"product_name","product_url","product_price","product_price_url","product_freeshipping"
"WeMo Smart Light Switch 2ND Gen","https://www.amazon.com/WeMo-Smart-Light-Switch-2ND/dp/B07RT8H9WH/ref=sr_1_34?keywords=smart+light&qid=1581498965&sr=8-34","$39.99","https://www.amazon.com/WeMo-Smart-Light-Switch-2ND/dp/B07RT8H9WH/ref=sr_1_34?keywords=smart+light&qid=1581498965&sr=8-34","FREE Shipping"
"Smart LED RGB Light Bulb - Aoycocr 10W A21 E26 Soft White (2700K) Multicolor - 900 Lumens (85W Equivalent) - Compatible with Amazon Alexa and Google Assistant, No Hub Required (4 Pack)","https://www.amazon.com/Smart-LED-RGB-Light-Bulb/dp/B07T8DRZZ5/ref=sr_1_35?keywords=smart+light&qid=1581498965&sr=8-35","$45.99","https://www.amazon.com/Smart-LED-RGB-Light-Bulb/dp/B07T8DRZZ5/ref=sr_1_35?keywords=smart+light&qid=1581498965&sr=8-35","FREE Shipping"
"Sengled Smart LED Soft White A19 Light Bulb, Hub Required, 2700K 60W Equivalent, Works with Alexa, Google Assistant & SmartThings, 4 Pack","https://www.amazon.com/Sengled-Required-Equivalent-Assistant-SmartThings/dp/B072M5RT6L/ref=sr_1_36?keywords=smart+light&qid=1581498965&sr=8-36","$38.99","https://www.amazon.com/Sengled-Required-Equivalent-Assistant-SmartThings/dp/B072M5RT6L/ref=sr_1_36?keywords=smart+light&qid=1581498965&sr=8-36","FREE Shipping"
"TECKIN Smart Light Bulb,LED RGB Color Changing,E27 100W 1300LM Equivalent Compatible with Alexa and Google Home,IFTTT,2900K-6000K BR30 WiFi Light Blubs(13W),1 Pack","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2900K-6000K/dp/B07RZKV7FQ/ref=sr_1_37?keywords=smart+light&qid=1581498965&sr=8-37","$19.99","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2900K-6000K/dp/B07RZKV7FQ/ref=sr_1_37?keywords=smart+light&qid=1581498965&sr=8-37","Fast, Free Shipping"
"TECKIN Smart Light Bulb LED RGB Color Changing,A19 E27 60W 800LM Equivalent Compatible with Alexa Google Home,IFTTT,2800K-6000K Cold and Warm Light WiFi Blubs(7.5W),4pack","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2800K-6000K/dp/B07ZJHGQZ2/ref=sr_1_38?keywords=smart+light&qid=1581498965&sr=8-38","$45.99","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2800K-6000K/dp/B07ZJHGQZ2/ref=sr_1_38?keywords=smart+light&qid=1581498965&sr=8-38","FREE Shipping"
"Etekcity Smart Light Bulb, WiFi Dimmable Soft White LED Bulb Works with Alexa, Google Home and IFTTT, Easy Setup, Schedule, A19 E26, 60W Equivalent, 806LM, 2700K, No Hub Required, UL Listed (4 Pack)","https://www.amazon.com/Etekcity-Dimmable-Schedule-Required-Equivalent/dp/B07TYV2BNF/ref=sr_1_39?keywords=smart+light&qid=1581498965&sr=8-39","$43.99","https://www.amazon.com/Etekcity-Dimmable-Schedule-Required-Equivalent/dp/B07TYV2BNF/ref=sr_1_39?keywords=smart+light&qid=1581498965&sr=8-39","FREE Shipping"
"Smart Light Bulbs, LOHAS BR30 LED WiFi Light Bulb Dimmable Daylight 5000K, 980LM, Compatible with Alexa Google Home Assistant, E26 10W Equivalent 75W BR30 Flood Light for Cans, No Hub Required, 2Pack","https://www.amazon.com/LOHAS-LED-Dimmable-Equivalent-Compatible/dp/B07SWYN9WS/ref=sr_1_40?keywords=smart+light&qid=1581498965&sr=8-40","$23.99","https://www.amazon.com/LOHAS-LED-Dimmable-Equivalent-Compatible/dp/B07SWYN9WS/ref=sr_1_40?keywords=smart+light&qid=1581498965&sr=8-40","Fast, Free Shipping"
"3-way Smart Light Switch,Neutral Wire Required,Treatlife WiFi Light Switch Single Pole/3-way Switch Works With Alexa, Google Assistant, Remote Control, ETL, Schedule, No Hub Required, 4 PACK","https://www.amazon.com/Treatlife-Assistant-Control-Schedule-Required/dp/B07V3XB1QG/ref=sr_1_41?keywords=smart+light&qid=1581498965&sr=8-41","$89.99","https://www.amazon.com/Treatlife-Assistant-Control-Schedule-Required/dp/B07V3XB1QG/ref=sr_1_41?keywords=smart+light&qid=1581498965&sr=8-41","FREE Shipping"
"Treatlife Smart Light Switch（Neutral Wire Required), 2.4Ghz Wi-Fi Light Switch, Works with Alexa and Google Assistant, Schedule, Remote Control, Single Pole, ETL Listed (1 PACK)","https://www.amazon.com/Treatlife-Smart-Light-Switch-Assistant/dp/B07R7PCCT9/ref=sr_1_42?keywords=smart+light&qid=1581498965&sr=8-42","$17.99","https://www.amazon.com/Treatlife-Smart-Light-Switch-Assistant/dp/B07R7PCCT9/ref=sr_1_42?keywords=smart+light&qid=1581498965&sr=8-42","Fast, Free Shipping"
"OHLUX Smart WiFi LED Light Bulb, Works with Alexa and Google Home Assistant (No Hub Required), RGBCW Multi Color Changing Bulb, A19 E26 7W(60W Equivalent), IFTTT Compatible, 2-Pack","https://www.amazon.com/OHLUX-Assistant-Required-Equivalent-Compatible/dp/B07VVW7BZ9/ref=sr_1_43?keywords=smart+light&qid=1581498965&sr=8-43","$21.99","https://www.amazon.com/OHLUX-Assistant-Required-Equivalent-Compatible/dp/B07VVW7BZ9/ref=sr_1_43?keywords=smart+light&qid=1581498965&sr=8-43","Fast, Free Shipping"
"So Undercover","https://www.amazon.com/So-Undercover-Miley-Cyrus/dp/B082N95G1B/ref=sr_1_44?keywords=smart+light&qid=1581498965&sr=8-44","$3.99","https://www.amazon.com/So-Undercover-Miley-Cyrus/dp/B082N95G1B/ref=sr_1_44?keywords=smart+light&qid=1581498965&sr=8-44",""
"LOHAS Smart Light Bulb BR40 WiFi LED Bulb, E26 RGB Color Changing Lights, 1450LM 100W Equivalent WiFi Bulb Work with Alexa, Google Assistant, Daylight 2700K-6000K Bulbs for Home Lighting(15W), 1 Pack","https://www.amazon.com/LOHAS-LED-Equivalent-2700K-6000K-Home-Lighting/dp/B082QVJBTD/ref=sr_1_45?keywords=smart+light&qid=1581498965&sr=8-45","$26.99","https://www.amazon.com/LOHAS-LED-Equivalent-2700K-6000K-Home-Lighting/dp/B082QVJBTD/ref=sr_1_45?keywords=smart+light&qid=1581498965&sr=8-45","FREE Shipping"
"Smart WiFi LED Light Bulbs Compatible with Alexa Google Home, Siri and Echo(No Hub Required), TIKLOK RGBCW Multi-Color, Warm to Cool White Dimmable 7.5W E26 A19 Color Changing Bulb(4 Pack)","https://www.amazon.com/Compatible-Required-Multi-Color-Dimmable-Changing/dp/B07R9ZBQZK/ref=sr_1_46?keywords=smart+light&qid=1581498965&sr=8-46","$35.96","https://www.amazon.com/Compatible-Required-Multi-Color-Dimmable-Changing/dp/B07R9ZBQZK/ref=sr_1_46?keywords=smart+light&qid=1581498965&sr=8-46","FREE Shipping"
"Wemo Wi-Fi Light Switch 3-Way 2-Pack Bundle - Control Lighting from Anywhere, Easy In-Wall Installation, Works with Alexa, Google Assistant and Apple HomeKit (WLS0403-BDL)","https://www.amazon.com/Wi-Fi-Light-Switch-2-Pack-Bundle/dp/B07NPZVYR1/ref=sr_1_47?keywords=smart+light&qid=1581498965&sr=8-47","$89.99","https://www.amazon.com/Wi-Fi-Light-Switch-2-Pack-Bundle/dp/B07NPZVYR1/ref=sr_1_47?keywords=smart+light&qid=1581498965&sr=8-47","FREE Shipping"
"BRTLX Smart Light Bulb, RGB Dimmable Wi-Fi LED Bulb, 9W 800LM,Free APP and Voice Control, Compatible with Amazon Alexa and Google Assistant,No Hub Required,A60 E26 Multicolored Smart Bulbs (4 Pack)","https://www.amazon.com/BRTLX-Dimmable-Compatible-Assistant-Multicolored/dp/B07JFVQ6B7/ref=sr_1_48?keywords=smart+light&qid=1581498965&sr=8-48","$35.99","https://www.amazon.com/BRTLX-Dimmable-Compatible-Assistant-Multicolored/dp/B07JFVQ6B7/ref=sr_1_48?keywords=smart+light&qid=1581498965&sr=8-48","FREE Shipping"
